TRNO,Cultivar,EC,Date,DAP,Tank Vol (L),No. Plants,TN (mg/L),NH4 (mg/L),NO3 (mg/L),P (mg/L),K (mg/L),N_%_Shoot,N_%_Root,P_%_Shoot,P_%_Root,K_%_Shoot,K_%_Root,N_initial (g),P_initial (g),K_initial (g),A+B (mL),HNO3 (mL),KOH (mL),N_A+B (g),N_HNO3 (g),N_tot (g),N_cumul (g),DryRW (g),InFRtW (g),InDSM (g),InDRtW (g),TFW (g),SFW (g),RFW (g),SDW (g),RDW (g),CWAD (kg/ha),RWAD (kg/ha)
1,REX,1.2,22224,0.0,40.0,120.0,0.795,,,1.059926927,10.0,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,0.0,36.25,0.0,0.0,1.5225000000000002,1.5225000000000002,0.0,1.278,0.0,0.0,0.0,,,,,,,
1,REX,1.2,22225,1.0,40.0,120.0,158.0,,,24.70445069,70.0,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,4.15,1.3,8.0,0.0,88.5,3.375,0.0,3.717,7.867,0.0,1.278,0.0,0.01875,0.0,,,,,,,
1,REX,1.2,22228,4.0,40.0,120.0,133.5,,,24.45985217,135.0,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,2.5,46.25,12.125,0.008939375,1.9425,1.951439375,0.0,1.2141,0.0,0.0375,0.0,,,,,,,
1,REX,1.2,22231,7.0,40.0,120.0,113.5,8.8,130.0,23.7260566,155.0,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.0,0.0,0.0,95.0,0.0,0.0,3.99,3.99,0.0,1.1502,0.0,0.05625,0.0,,,,,,,
1,REX,1.2,22232,8.0,40.0,24.0,142.60000000000002,6.35,125.3,51.202623875,258.33333333333337,0.0364499999999999,0.03,0.0083,0.00675,0.0691,0.04,0.0,0.065,10.292,0.0,0.0,1.0,0.0,0.0,0.0,8.2978,1.1502,0.8237499999999985,0.065,0.1149158729672485,,,,,,,
1,REX,1.2,22235,11.0,,,,5.449999999999999,131.3,,270.0,,,,,0.0691,0.04,,,0.0,,,0.0,,,,,,,,,,,,,,,
1,REX,1.2,22235,12.0,40.0,24.0,141.65,5.449999999999999,131.3,51.202623875,,0.0364499999999999,0.03,0.0083,0.00675,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,8.2978,1.1502,1.2949999999999982,0.055,0.1603987525922867,,,,,,,
1,REX,1.2,22237,13.0,,,,4.65,118.2,,235.0,,,,,0.0691,0.04,,,0.0,,,0.0,,,,,,,,,,,,,,,
1,REX,1.2,22237,14.0,40.0,23.0,127.4,4.65,118.2,46.636784805000005,,0.0364499999999999,0.03,0.0083,0.00675,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,8.2978,1.1502,1.617499999999999,0.0824999999999999,0.1800276201363845,,,,,,,
1,REX,1.2,22239,15.0,,,,3.35,118.7,,235.0,,,,,0.05535,0.04,,,0.0,,,0.0,,,,,,,,,,,,,,,
